ds,y
2016-03-13,52
2016-03-20,12
2016-03-27,0
2016-04-03,18
2016-04-10,0
2016-04-17,41
2016-04-24,23
2016-05-01,18
2016-05-08,29
2016-05-15,17
2016-05-22,24
2016-05-29,12
2016-06-05,6
2016-06-12,12
2016-06-19,37
2016-06-26,30
2016-07-03,19
2016-07-10,19
2016-07-17,38
2016-07-24,19
2016-07-31,19
2016-08-07,26
2016-08-14,33
2016-08-21,0
2016-08-28,12
2016-09-04,25
2016-09-11,25
2016-09-18,18
2016-09-25,24
2016-10-02,18
2016-10-09,12
2016-10-16,12
2016-10-23,18
2016-10-30,36
2016-11-06,18
2016-11-13,18
2016-11-20,6
2016-11-27,6
2016-12-04,28
2016-12-11,11
2016-12-18,36
2016-12-25,12
2017-01-01,12
2017-01-08,17
2017-01-15,38
2017-01-22,50
2017-01-29,54
2017-02-05,65
2017-02-12,27
2017-02-19,49
2017-02-26,43
2017-03-05,26
2017-03-12,32
2017-03-19,60
2017-03-26,11
2017-04-02,27
2017-04-09,45
2017-04-16,38
2017-04-23,38
2017-04-30,38
2017-05-07,43
2017-05-14,41
2017-05-21,41
2017-05-28,24
2017-06-04,40
2017-06-11,35
2017-06-18,28
2017-06-25,24
2017-07-02,67
2017-07-09,35
2017-07-16,24
2017-07-23,35
2017-07-30,17
2017-08-06,34
2017-08-13,57
2017-08-20,23
2017-08-27,23
2017-09-03,56
2017-09-10,49
2017-09-17,50
2017-09-24,44
2017-10-01,39
2017-10-08,22
2017-10-15,44
2017-10-22,49
2017-10-29,22
2017-11-05,80
2017-11-12,53
2017-11-19,59
2017-11-26,42
2017-12-03,43
2017-12-10,48
2017-12-17,39
2017-12-24,30
2017-12-31,11
2018-01-07,26
2018-01-14,46
2018-01-21,88
2018-01-28,73
2018-02-04,21
2018-02-11,62
2018-02-18,52
2018-02-25,41
2018-03-04,36
2018-03-11,35
2018-03-18,41
2018-03-25,48
2018-04-01,42
2018-04-08,36
2018-04-15,47
2018-04-22,52
2018-04-29,42
2018-05-06,57
2018-05-13,47
2018-05-20,42
2018-05-27,42
2018-06-03,58
2018-06-10,35
2018-06-17,37
2018-06-24,57
2018-07-01,52
2018-07-08,57
2018-07-15,58
2018-07-22,64
2018-07-29,31
2018-08-05,41
2018-08-12,41
2018-08-19,26
2018-08-26,21
2018-09-02,61
2018-09-09,96
2018-09-16,40
2018-09-23,65
2018-09-30,35
2018-10-07,26
2018-10-14,36
2018-10-21,51
2018-10-28,46
2018-11-04,55
2018-11-11,46
2018-11-18,71
2018-11-25,65
2018-12-02,51
2018-12-09,66
2018-12-16,37
2018-12-23,17
2018-12-30,33
2019-01-06,36
2019-01-13,35
2019-01-20,55
2019-01-27,55
2019-02-03,64
2019-02-10,69
2019-02-17,55
2019-02-24,49
2019-03-03,85
2019-03-10,45
2019-03-17,61
2019-03-24,69
2019-03-31,70
2019-04-07,35
2019-04-14,63
2019-04-21,52
2019-04-28,55
2019-05-05,40
2019-05-12,40
2019-05-19,100
2019-05-26,65
2019-06-02,30
2019-06-09,49
2019-06-16,56
2019-06-23,74
2019-06-30,65
2019-07-07,65
2019-07-14,30
2019-07-21,36
2019-07-28,46
2019-08-04,36
2019-08-11,45
2019-08-18,59
2019-08-25,82
2019-09-01,58
2019-09-08,85
2019-09-15,43
2019-09-22,66
2019-09-29,57
2019-10-06,62
2019-10-13,47
2019-10-20,84
2019-10-27,42
2019-11-03,61
2019-11-10,70
2019-11-17,61
2019-11-24,55
2019-12-01,56
2019-12-08,52
2019-12-15,47
2019-12-22,21
2019-12-29,49
2020-01-05,50
2020-01-12,57
2020-01-19,54
2020-01-26,54
2020-02-02,66
2020-02-09,67
2020-02-16,31
2020-02-23,55
2020-03-01,47
2020-03-08,51
2020-03-15,54
2020-03-22,32
2020-03-29,60
2020-04-05,54
2020-04-12,65
2020-04-19,36
2020-04-26,48
2020-05-03,72
2020-05-10,33
2020-05-17,73
2020-05-24,46
2020-05-31,53
2020-06-07,81
2020-06-14,54
2020-06-21,55
2020-06-28,72
2020-07-05,77
2020-07-12,53
2020-07-19,53
2020-07-26,85
2020-08-02,70
2020-08-09,47
2020-08-16,74
2020-08-23,39
2020-08-30,55
2020-09-06,51
2020-09-13,46
2020-09-20,75
2020-09-27,77
2020-10-04,74
2020-10-11,54
2020-10-18,59
2020-10-25,85
2020-11-01,42
2020-11-08,67
2020-11-15,27
2020-11-22,54
2020-11-29,52
2020-12-06,57
2020-12-13,58
2020-12-20,29
2020-12-27,19
2021-01-03,57
2021-01-10,40
2021-01-17,53
2021-01-24,67
2021-01-31,45
2021-02-07,53
2021-02-14,94
2021-02-21,61
2021-02-28,35
2021-03-07,0
